time_s,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad
0.0,0.0001233854162379937,0.00039786178010294785,0.324098416366419,0.23092909400536502,0.3157671735577239,0.1761982526911707
0.0050022066835889965,0.00020638094679137375,0.0012406737165653894,0.3238993647997121,0.21833994202344498,0.31484431373726446,0.17891038127322487
0.010123460326942264,0.0035189755685434516,0.00613879888294818,0.32529361353298913,0.22612549721291714,0.32861734185043284,0.1973269315756612
0.015015482038591172,0.004001573337715629,0.006643967676278435,0.32732120559459327,0.23669773851127648,0.31390530284763535,0.1808393581809016
0.019660837606345783,0.006764353360273624,0.005900386412663635,0.3272881874936316,0.2229154713217374,0.3246735641589618,0.17440602511412606
0.024480621384845493,0.00957423047420626,0.006787711136333233,0.32708047928932243,0.21627374734550922,0.33826598020101345,0.18607700907251423
0.029085541205815288,0.007368164562254075,0.00840667088212054,0.3253340643354519,0.2152023093398971,0.3200001369120747,0.20325911219714915
0.03411132134944992,0.011469635405076842,0.0099306759517019,0.32903870130829377,0.22003439875224579,0.3242151076142749,0.19086071704080484
0.03964930572013439,0.013949409127506692,0.013223567218006934,0.3255861197496748,0.2240702445963032,0.3288601555619385,0.20245571790425482
0.044454070057020637,0.01447770151574418,0.015047980482202064,0.3303225606537487,0.21897095896996008,0.3352552192441096,0.20026718159181617
0.04920750944858518,0.014385211945509619,0.016016627777739816,0.32918537456775604,0.2060991349325593,0.3197745306090262,0.20885107281650925
0.05440522790709629,0.017028321225920816,0.020243360036085796,0.3298969510313798,0.19214632839007048,0.3231856256366058,0.22697020337391915
0.05954974611317812,0.019962327365115305,0.021513441820738298,0.3306787661412029,0.2118234237297345,0.339308782154965,0.19980778125343684
0.06459364072452646,0.021674527569331286,0.022464786372195934,0.3324484155206962,0.21284115724878655,0.3445836738530689,0.2385305066779051
0.06922304034062855,0.021237746598335164,0.0242164142225024,0.3348956280572001,0.21047772522115796,0.3300268250587511,0.2346889882111386
0.07421305005309478,0.022445817919905887,0.02727719200960262,0.33344834629118114,0.2010544971363367,0.33552145412201845,0.22136267153103678
0.07949298114960174,0.02570785118808414,0.030658160837475936,0.33510294339665314,0.20935627638922072,0.3382969406639823,0.25205202744582833
0.08395682541674118,0.02641424468540515,0.029637429781989057,0.3350019180179439,0.21100857103978968,0.33301953054179173,0.2416249134353895
0.08877543080097154,0.029374463096834207,0.03211419968826092,0.3345408295602407,0.1956303376526629,0.33998313990292833,0.24451904438470917
0.09301639539393204,0.03230575026391392,0.03504560775015444,0.3340351635959228,0.20889018829068715,0.34724287307648755,0.23593934300162767
0.09750211788333915,0.032895259555082886,0.03391718154691174,0.33564782667209475,0.20699376585082063,0.34562759482947947,0.24549418278083956
0.10176688571621532,0.032386547507052985,0.03499409050511732,0.3353351758511543,0.21709744244810855,0.33366159164199527,0.27907762911915945
0.10667453147308277,0.037497646888533936,0.03912898505094207,0.334311893375088,0.20619217279014837,0.34730954076273407,0.2651889220941719
0.11116909349578122,0.03607859554413318,0.040252581640329334,0.3340738462350212,0.20694479630722024,0.33007881660604393,0.25956952794111837
0.11627935089844349,0.038359567601497,0.041027541571545915,0.3391455812846511,0.18064863981006005,0.34397093754745883,0.26491332932348177
0.12134378728601214,0.04186529363738064,0.042318511745420555,0.3371908360708676,0.20133433686570215,0.3444090619425718,0.2639605340491294
0.1262707037229296,0.04216635244448017,0.046749801998451905,0.3376732784443881,0.19962046287573146,0.34363663799054195,0.27977990157189536
0.13026536910271996,0.043281879440965995,0.04633793387803693,0.33894722843904324,0.19608114536044388,0.3435112942112774,0.2802365490577385
