time_s,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad
0.0,0.00033042189804474313,0.0006388122195831183,0.32414334183391885,0.23062700281320403,0.31584324256849783,0.17656282785919108
0.01,0.003392948036162957,0.003972922129999384,0.32521853046010396,0.2271740149074435,0.3187446186668308,0.18310137443049213
0.02,0.006471574831115624,0.00731695952247658,0.32630437442998256,0.22381426042595098,0.32161138193738026,0.18977789857509464
0.03,0.009589422699272751,0.010699096500778982,0.32741146963829615,0.22061815070574164,0.3244047984792693,0.19671765869994706
0.04,0.012762591910594841,0.014137982940688165,0.3285454938753417,0.21763369297557578,0.3270907102088545,0.20401126142722692
0.05,0.015998935504168407,0.017640431509901362,0.3297062027848929,0.21487750014535045,0.32964118457914227,0.21170622725892407
0.06,0.019297806199960178,0.02120117247922477,0.3308876741378684,0.2123307257703959,0.3320350164587569,0.2198041888018749
0.07,0.022650763356697155,0.02480456374464926,0.3320797093609857,0.2099407506923412,0.33425772351175365,0.2282642179095986
0.08,0.026043159577038368,0.028427735004385918,0.3332698872795982,0.20762856183208767,0.33630134225668673,0.23701173082738736
0.09,0.029456450704039912,0.032044398559139625,0.3344455501941338,0.2053007064777317,0.33816392004761475,0.2459510480524254
0.1,0.03287097216259314,0.03562854660653413,0.33559515223366865,0.20286375348119057,0.33984848672296764,0.25497866721026297
0.11,0.03626881862736747,0.03915745649732777,0.33670882357414494,0.20023863300813138,0.3413615021107934,0.26399450227947163
0.12,0.03963640411664137,0.042613725457046794,0.33777842160910815,0.19737221579677078,0.34271110004875727,0.2729097133740561
0.13,0.04296629814583989,0.045986299773687234,0.33879749856509456,0.19424418180628056,0.3439055606916468,0.28165134355544597
0.14,0.046258031076831393,0.049270578715708925,0.3397614661771536,0.19086854795137187,0.34495213130518065,0.2901648165816244
0.15,0.049517728004513456,0.052467712317447394,0.3406679472494877,0.18729058269408982,0.3458558326033785,0.2984150661107834
0.16,0.052756639136588894,0.05558326381855813,0.34151709780163025,0.1835804653333355,0.34661782579649003,0.3063861115612254
0.17,0.05598883923595276,0.0586255008735042,0.34231166843415883,0.17982470826619457,0.34723349916891655,0.3140782768448558
0.18,0.05922851828810133,0.061603660297624305,0.34305668670619655,0.17611560827584327,0.34769108775975655,0.32150269576864954
0.19,0.06248734005794381,0.06452652045229434,0.3437587636643771,0.17253874945971903,0.347971595613493,0.32867402904634746
0.2,0.06577230966125387,0.0674014928568011,0.3444251036830726,0.16915926876482335,0.3480500625380656,0.3356035047344661
0.21,0.06908450528314579,0.07023427058719353,0.34506234084283677,0.16600875302693252,0.3478975589971478,0.3422946893189729
0.22,0.07241888281662952,0.07302892843685252,0.3456753545652064,0.16307550066487497,0.34748322294165535,0.34874358742885425
0.23,0.07576512702133086,0.07578828302983971,0.3462662430845355,0.1603010296648173,0.34677603073625596,0.35494311492843966
0.24,0.07910928708158582,0.07851425876266668,0.34683366305654667,0.15758493970131537,0.3457464141894393,0.36089043422510203
0.25,0.08243583973168066,0.08120797738590954,0.34737274563506604,0.15479837735379753,0.3443679744632666,0.3665947326084549
0.26,0.08572986717669638,0.08386937438456155,0.34787571490573255,0.1518037749504768,0.34261933717674964,0.37208293867349385
0.27,0.08897909911041481,0.0864963786448983,0.34833315880892607,0.14847640170784926,0.34048593600094357,0.37740150357133606
0.28,0.09217558821475144,0.08908396735292902,0.3487357145369168,0.14472278419494522,0.3379615086906873,0.3826135710863485
0.29,0.09531680271872198,0.09162354827888687,0.3490758261482883,0.14049243773452558,0.3350492370541347,0.38779225066679324
0.3,0.09840597752360106,0.0941030441757837,0.3493492442733936,0.1357816578976312,0.3317625240310047,0.3930117058864808
0.31,0.10145167706225512,0.09650783993211653,0.3495560170337677,0.13063006363056884,0.328125371021013,0.39833799535014647
0.32,0.10446664317099141,0.09882252797648639,0.3497008008123328,0.12511156080551045,0.3241721903065553,0.40382115626900816
0.33,0.10746606841950894,0.10103318089946058,0.34979239502714893,0.11932170832610112,0.3199466060705185,0.4094893870002556
0.34,0.11046546415007436,0.10312967508803929,0.3498425276921254,0.1133636023310256,0.31549865665685184,0.41534585174433314
